site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring,Land,lat_start,lat_stop,long_start,long_stop
65,Whiterock cave,4.15,114.86,NULL,limestone,unknown,unknown,Malaysia,4,5,114,115
66,White Scar cave,54.1656,-2.4419,255,limestone,Carboniferous,yes,UK,54,55,-2,-3
67,Clearwater/Wind caves connection,4.1,114.83,NULL,limestone,unknown,unknown,Malaysia,4,5,114,115
68,Jerusalem west cave,31.7833,35.15,700,dolomite,Cretaceous,unknown,Israel,31,32,35,36
69,Xinglong cave,40.5,117.5,710,dolomite,Precambrian,yes,China,40,41,117,118
70,Abaco Island cave,26.23,-77.16,-45,limestone,Pleistocene,no,Bahamas,26,27,-77,-78
71,Baradla cave,48.4667,20.5,375,limestone,Triassic,yes,Ungarn,48,49,20,21
72,Ascunsa cave,45,22.6,1050,limestone,Cretaceous,yes,Rumänien,45,45,22,23
73,Bourgeois–Delaunay cave,45.6678,0.5133,100,limestone,Jurassic,no,Frankreich,45,46,0,1
74,Cango cave,-33.3925,22.2147,NULL,limestone,Precambrian,no,Südafrika,-33,-34,22,23
75,Cave Without a Name,29.8852,-98.6208,377,limestone,Cretaceous,yes,Texas,29,30,-98,-99
76,Ceremosnja cave,44.4,21.65,530,limestone,Cretaceous,yes,Serbien,44,45,21,22
77,Chauvet cave,44.23,4.26,240,limestone,Cretaceous,yes,Frankreich,44,45,4,5
78,Chilibrillo cave,9.1741,-79.6164,60,unknown,unknown,no,Panama,9,10,-79,-80
79,Dim cave,36.534,32.1056,232,limestone,Permian,no,Türkei,36,37,32,33
80,Furong cave,29.2289,107.9036,480,dolomite,Cambrian,yes,China,29,30,107,108
